,variable,importance
0,numViolations,0.15509846723784818
1,state_owned,0.10706420571982424
2,secondaryNumViolations,0.08613414757102972
3,secondaryNumCrimes,0.0801116335080777
4,nhood_31,0.048214888513535864
5,zone_R2,0.0450834610444141
6,nhood_36,0.037617712876706705
7,secondaryNum311,0.034468979543199475
8,zone_R1,0.031560209860859965
9,nhood_42,0.03029293253783518
10,nhood_162,0.024901428151962172
11,nhood_110,0.022613511572709726
12,nhood_193,0.017291569800412795
13,nhood_94,0.013420799514014672
14,nhood_84,0.012943140804203028
15,numCrimes,0.01268201957286127
16,nhood_100,0.01184223181286721
17,nhood_33,0.011620780346173969
18,nhood_10,0.010315691597329524
19,nhood_2,0.008828691792385919
20,nhood_4,0.008636544152068578
21,nhood_19,0.007816790545215908
22,nhood_80,0.0073143897609940535
23,nhood_177,0.007271759837973563
24,nhood_47,0.007096345862559849
25,nhood_116,0.006812581850409572
26,zone_B5,0.006564432686536928
27,nhood_178,0.006199215527756059
28,num311,0.006013791087152891
29,nhood_115,0.005780080896256089
30,nhood_16,0.004853099712253043
31,nhood_159,0.004605263289755811
32,nhood_200,0.004511334866365341
33,nhood_168,0.004250887338293385
34,nhood_166,0.004169651267994104
35,nhood_77,0.004053901296252528
36,nhood_87,0.003942595521281547
37,nhood_7,0.0036407309515659307
38,zone_B2,0.003568809797867937
39,nhood_111,0.003391820041082934
40,nhood_41,0.002982621819951844
41,nhood_163,0.002951983748212807
42,nhood_161,0.0028704185668138164
43,nhood_113,0.0027234413056233765
44,nhood_6,0.0026883098335913538
45,nhood_198,0.002687057218625932
46,nhood_174,0.0025439929964611065
47,nhood_204,0.0023956012261314263
48,zone_R3,0.002328743405584179
49,nhood_103,0.0022953881394623533
50,zone_B4,0.002222452293437572
51,nhood_207,0.00210717728111663
52,nhood_86,0.0020671928496285726
53,nhood_22,0.0020210775117653836
54,nhood_176,0.001910053996823301
55,nhood_96,0.0019091285745145078
56,nhood_160,0.0018964199231333379
57,nhood_8,0.0018755306331246805
58,nhood_75,0.0015608190325815047
59,nhood_203,0.0014323184756465368
60,nhood_5,0.0013976905156792066
61,nhood_205,0.0013177973439283505
62,nhood_37,0.0012911025966733374
63,nhood_112,0.001242890040919494
64,nhood_196,0.001241872133012686
65,nhood_179,0.0012375177759059918
66,nhood_209,0.001188590107733003
67,nhood_169,0.001162989572145187
68,nhood_105,0.0011453109823241394
69,nhood_32,0.0011442398418459528
70,nhood_98,0.001125573397302184
71,nhood_120,0.0010651851458680266
72,nhood_197,0.0010004757506376085
73,nhood_57,0.0009323099290207489
74,nhood_201,0.0009213672345593637
75,nhood_44,0.000889781745627817
76,nhood_70,0.0007834494057179256
77,nhood_146,0.0007233402534735844
78,zone_PD,0.0007142747207661149
79,zone_M4,0.0007130786164069814
80,nhood_183,0.0006417883181110171
81,zone_M3,0.0006177330303807694
82,nhood_64,0.0006014897268812469
83,nhood_35,0.0005388769512473368
84,nhood_155,0.0005345808848917937
85,nhood_172,0.000533241300108665
86,nhood_187,0.000504121046740024
87,nhood_150,0.0005000789983670163
88,nhood_30,0.0004978044070137089
89,nhood_93,0.0004964438056400364
90,nhood_191,0.0004944187209528679
91,zone_SD5,0.0004891521936731957
92,zone_M5,0.0004880537574188813
93,nhood_34,0.0004451263303079479
94,nhood_189,0.00044288664928490777
95,nhood_140,0.00042252793864956423
96,nhood_60,0.00040863814248437403
97,nhood_51,0.0004078907301741754
98,nhood_173,0.0004076451095915448
99,nhood_72,0.00039809185537316487
100,nhood_107,0.00039647516463896693
101,nhood_85,0.0003934509708088195
102,nhood_39,0.00037708324306951786
103,nhood_202,0.0003620520600757604
104,nhood_184,0.0003605288311624592
105,nhood_206,0.0003596670449806894
106,nhood_81,0.0003483716120504456
107,nhood_147,0.00033440827260902575
108,nhood_182,0.00033374103141259895
109,nhood_126,0.00032510912035289407
110,zone_R5,0.0003175653274427959
111,nhood_118,0.0003066885858685355
112,zone_M2,0.00029803314636090957
113,nhood_73,0.00028194018183334406
114,nhood_148,0.00028147748869020113
115,zone_R4,0.00028137898927122363
116,nhood_170,0.0002787839101871405
117,nhood_199,0.0002506912377892925
118,nhood_95,0.0002370432391969869
119,nhood_65,0.00022749575363160474
120,nhood_104,0.00019013665636331747
121,nhood_186,0.0001895337232517291
122,nhood_82,0.00017770966202813315
123,nhood_123,0.00016136615807922433
124,nhood_25,0.00014869434844165042
125,nhood_167,0.00014661203350577396
126,nhood_28,0.0001427776739163552
127,nhood_76,0.00013923894232950037
128,nhood_117,0.00013853272574530564
129,nhood_132,0.0001360929595843483
130,nhood_29,0.00013541675120446676
131,nhood_69,0.0001332891409852899
132,nhood_59,0.00013318990668534695
133,nhood_124,0.00012663584363719647
134,nhood_109,0.00012224864631692377
135,zone_B6,0.00012083772300299276
136,nhood_71,0.00011587321021781282
137,nhood_0,0.00010734693070537052
138,nhood_24,9.630468877288792e-05
139,nhood_122,9.215602785098559e-05
140,zone_SD1,9.129182021962348e-05
141,nhood_23,8.279251686486366e-05
142,nhood_121,7.949977920245488e-05
143,nhood_119,7.928910908392937e-05
144,nhood_1,7.756617287576542e-05
145,nhood_66,7.334940008244765e-05
146,nhood_27,7.251356994336045e-05
147,nhood_152,7.190251013106478e-05
148,nhood_92,6.85136960435787e-05
149,nhood_106,6.79882064730415e-05
150,nhood_11,6.151859027459169e-05
151,nhood_45,5.6204943677014616e-05
152,nhood_108,5.558627016245068e-05
153,nhood_53,5.048997549352572e-05
154,nhood_181,4.8796360994574116e-05
155,nhood_50,4.847587983170883e-05
156,nhood_13,4.5974568097607914e-05
157,nhood_9,4.527899682680374e-05
158,nhood_68,4.428719076594195e-05
159,nhood_15,4.4161497091883314e-05
160,nhood_49,3.810118156174743e-05
161,nhood_164,3.544542134835041e-05
162,nhood_144,3.479970218896338e-05
163,nhood_26,3.4172133954958526e-05
164,nhood_101,3.1765497559663086e-05
165,nhood_154,3.1319994113938666e-05
166,zone_B3,3.0096859428599292e-05
167,nhood_74,3.0076930547482804e-05
168,nhood_83,2.6435826928804793e-05
169,nhood_194,2.1496940956647962e-05
170,nhood_43,2.083247557201779e-05
171,nhood_157,2.009371519400104e-05
172,nhood_138,1.9921295862460048e-05
173,nhood_134,1.9820022340721514e-05
174,nhood_185,1.4219243130586467e-05
175,zone_PC,1.1172947827335765e-05
176,nhood_79,8.68428240384012e-06
177,nhood_102,4.77184456366525e-06
178,nhood_67,4.56529773175485e-06
179,nhood_40,4.075642118920849e-06
180,nhood_165,3.562432411000346e-06
181,nhood_48,2.48478328656194e-06
182,nhood_63,6.961900085383054e-07
183,nhood_145,2.438138077243954e-07
184,zone_SD2,0.0
185,nhood_12,0.0
186,zone_PR,0.0
187,zone_PCA,0.0
188,nhood_97,0.0
189,nhood_129,0.0
190,zone_SD4,0.0
191,nhood_99,0.0
192,zone_M1,0.0
193,zone_P1,0.0
194,nhood_190,0.0
195,nhood_128,0.0
196,zone_R6,0.0
197,nhood_127,0.0
198,nhood_125,0.0
199,nhood_188,0.0
200,nhood_192,0.0
201,nhood_208,0.0
202,nhood_130,0.0
203,nhood_62,0.0
204,nhood_21,0.0
205,nhood_175,0.0
206,nhood_3,0.0
207,nhood_17,0.0
208,nhood_156,0.0
209,nhood_153,0.0
210,nhood_46,0.0
211,nhood_149,0.0
212,nhood_52,0.0
213,nhood_55,0.0
214,nhood_56,0.0
215,nhood_114,0.0
216,nhood_61,0.0
217,nhood_143,0.0
218,nhood_91,0.0
219,nhood_142,0.0
220,nhood_14,0.0
221,nhood_171,0.0
222,nhood_139,0.0
223,nhood_18,0.0
224,nhood_137,0.0
225,nhood_136,0.0
226,nhood_180,0.0
227,nhood_135,0.0
228,nhood_133,0.0
229,nhood_131,0.0
230,nhood_88,0.0
231,nhood_89,0.0
232,nhood_195,0.0
